AuthorID,Name,GenderID,Female,Male,CountryOfOriginID,CountryOfResidence,DateOfDeath,DateOfBirth,Race,PenName
107,Nate Powell,Male,0,1,USA,USA,NA,1/1/78,White,NA
110,John Bolton,Male,0,1,UK,UK,NA,5/23/51,White,NA
111,Scott Hampton,Male,0,1,USA,USA,NA,4/10/59,White,NA
112,Charles Vess,Male,0,1,USA,USA,NA,6/10/51,White,NA
116,Paul Hornschemeier,Male,0,1,USA,USA,NA,10/27/77,White,NA
117,Posy Simmonds,Female,1,0,UK,UK,NA,8/9/45,White,NA
119,Rick Geary,Male,0,1,USA,USA,NA,2/25/46,White,NA
120,Robert Crumb,Male,0,1,USA,USA,NA,8/30/43,White,NA
121,Roz Chast,Female,1,0,USA,USA,NA,11/26/54,White,NA
122,Rutu Modan,Female,1,0,Israel,Israel,NA,1/1/66,White,NA
123,Sarah Glidden,Female,1,0,USA,USA,NA,6/16/80,White,NA
124,Sarnath Banerjee,Male,0,1,India,India,NA,1/1/72,Asian,NA
125,Gregory Gallant,Male,0,1,NA,USA,NA,9/16/62,White,Seth
126,Shaun Tan,Male,0,1,Australia,Australia,NA,1/1/74,White,NA
130,Sydney Padua,Female,1,0,NA,,NA,NA,Unknown,NA
